brand,category,facebook,x,instagram,youtube,facebook_norm,x_norm,instagram_norm,youtube_norm,brand_power_index
Macron,Abbigliamento Sportivo,195000.0,47036.0,184000.0,2470.0,0.0012037037037037038,0.0014897094100663956,0.0006174496644295302,9.148148148148148e-05,0.0007077489792454801
Schweppes,Bevande,452229.0,5864.0,44100.0,0.0,0.0027915370370370373,0.00018572276512946134,0.00014798657718120806,0.0,0.0006379611241902495
Beck's,Birra,449830.0,7745.0,24800.0,0.0,0.0027767283950617286,0.0002452972059903953,8.322147651006712e-05,0.0,0.0006212677766894286
Ellesse,Abbigliamento Sportivo,0.0,15119.0,389000.0,4050.0,0.0,0.0004788442165744076,0.0013053691275167786,0.00015,0.0005737058271170336
Peroni,Birra,223436.0,2829.0,59900.0,17600.0,0.0013792345679012345,8.959919893438713e-05,0.00020100671140939599,0.0006518518518518518,0.0005551946979692492
unipolsai,Assicurazioni,161224.0,27597.0,8271.0,14900.0,0.00099520987654321,0.0008740435111319483,2.775503355704698e-05,0.0005518518518518519,0.0005054183192789562
Messina,Birra,18197.0,92000.0,21000.0,0.0,0.00011232716049382716,0.0029137950872971424,7.046979865771812e-05,0.0,0.00048419912472353813
bper banca,Banche,250481.0,4956.0,26400.0,9530.0,0.001546179012345679,0.0001569648744852678,8.859060402684563e-05,0.00035296296296296296,0.00046967613394021084
ita airways,Aviazione,93321.0,14971.0,139000.0,9740.0,0.0005760555555555556,0.00047415680708614693,0.00046644295302013423,0.00036074074074074074,0.00045781188795330233
Twinings,Bevande,26769.0,39441.0,83100.0,11100.0,0.00016524074074074073,0.0012491629569357239,0.00027885906040268454,0.0004111111111111111,0.0004413565961627797
BNL BNP Paribas,Banche,238145.0,1917.0,2674.0,10500.0,0.0014700308641975308,6.071462154726763e-05,8.973154362416108e-06,0.00038888888888888887,0.00042292063676510866
Levissima,Bevande,266949.0,0.0,25500.0,0.0,0.0016478333333333334,0.0,8.557046979865772e-05,0.0,0.0003595163310961969
Ferrero,Alimentari,164620.0,2418.0,67400.0,1740.0,0.0010161728395061728,7.658213609874446e-05,0.0002261744966442953,6.444444444444444e-05,0.0003132162954748829
Ferrarelle,Bevande,206973.0,3117.0,12800.0,2410.0,0.001277611111111111,9.872064442505645e-05,4.295302013422819e-05,8.925925925925926e-05,0.00031214165371073836
Acqua Lete,Bevande,133405.0,5231.0,24300.0,7040.0,0.0008234876543209876,0.00016567458806142775,8.154362416107382e-05,0.00026074074074074075,0.00029631120975200976
sisal,Scommesse,0.0,0.0,66300.0,16100.0,0.0,0.0,0.00022248322147651006,0.0005962962962962963,0.0002567580164056674
Reale Mutua,Banche,64656.0,16361.0,34700.0,3830.0,0.0003991111111111111,0.000518180450252919,0.00011644295302013422,0.00014185185185185186,0.0002408598788727626
Edison,Energia,75060.0,9148.0,14600.0,7510.0,0.00046333333333333334,0.00028973258107167673,4.899328859060403e-05,0.00027814814814814813,0.00023671864927857407
Kimbo,Bevande,124505.0,1300.0,27500.0,1080.0,0.0007685493827160494,4.117319145093788e-05,9.228187919463087e-05,4e-05,0.00020418451297897136
San Benedetto,Bevande,106062.0,0.0,17100.0,4230.0,0.0006547037037037037,0.0,5.738255033557047e-05,0.00015666666666666666,0.0001980246333581904
hera,Energia,6439.0,7110.0,13300.0,11300.0,3.9746913580246916e-05,0.00022518568555089872,4.463087248322148e-05,0.00041851851851851853,0.00018290359647336727
a2a,Energia,37235.0,6620.0,22500.0,6890.0,0.00022984567901234568,0.0002096665595424683,7.550335570469798e-05,0.00025518518518518517,0.00018040084978603922
Segafredo,Bevande,76838.0,2359.0,28300.0,2570.0,0.00047430864197530863,7.471350664058651e-05,9.496644295302013e-05,9.518518518518518e-05,0.0001678625649802623
Angelo Poretti,Birra,97631.0,0.0,0.0,1160.0,0.0006026604938271605,0.0,0.0,4.296296296296296e-05,0.000133420987654321
Banca popolare di Milano,Banche,11855.0,2109.0,5667.0,1350.0,7.317901234567902e-05,6.679558520771384e-05,1.9016778523489933e-05,5e-05,4.6311012733514354e-05
brt,Logistica,0.0,1191.0,0.0,2180.0,0.0,3.7720977706205396e-05,0.0,8.074074074074073e-05,2.988036887815303e-05
snaitech,Scommesse,0.0,0.0,1992.0,2160.0,0.0,0.0,6.684563758389262e-06,8e-05,2.633959731543624e-05
agip,Carburanti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esso,Carburanti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tamoil,Carburanti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gls,Logistica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
