brand,category,facebook,x,instagram,youtube,facebook_norm,x_norm,instagram_norm,youtube_norm,brand_power_index
etihad,Aviazione,5000000.0,814281.0,2600000.0,343000.0,0.030864197530864196,0.025789651929123962,0.0087248322147651,0.012703703703703703,0.01690608968182033
hublot,Orologeria,5000000.0,651070.0,6000000.0,49300.0,0.030864197530864196,0.020620484429201637,0.020134228187919462,0.001825925925925926,0.016860669814102676
zalando,E-Commerceretail,8700000.0,25004.0,2800000.0,229000.0,0.053703703703703705,0.000791918830030193,0.009395973154362415,0.008481481481481482,0.01669256361371656
Carrefour,E-Commerceretail,12000000.0,193752.0,71500.0,23300.0,0.07407407407407407,0.006136452453847782,0.00023993288590604028,0.0008629629629629629,0.016078148081847984
Moncler,Moda,3000000.0,1009196.0,5900000.0,54600.0,0.018518518518518517,0.03196293855347747,0.019798657718120807,0.002022222222222222,0.01603434135473427
hp,Tecnologia,4600000.0,1097129.0,1700000.0,280000.0,0.028395061728395062,0.034747924894904636,0.005704697986577181,0.01037037037037037,0.01599895648632783
Givova,Abbigliamento Sportivo,49900.0,2138000.0,49600.0,498000.0,0.0003080246913580247,0.06771406409392706,0.00016644295302013423,0.018444444444444444,0.01581030291925104
jd sports,E-Commerceretail,4000000.0,37450.0,2700000.0,632000.0,0.024691358024691357,0.001186104630644326,0.009060402684563758,0.023407407407407408,0.015309550461354456
Audi,Auto,1300000.0,611009.0,5800000.0,335000.0,0.008024691358024692,0.01935168502711239,0.019463087248322148,0.012407407407407407,0.01504199378480677
Carlsberg,Birra,3200000.0,29895.0,85200.0,974000.0,0.019753086419753086,0.0009468250449429139,0.00028590604026845637,0.03607407407407407,0.015014930377008235
John deere,Altro,6000000.0,231505.0,1500000.0,389000.0,0.037037037037037035,0.007332153605268749,0.0050335570469798654,0.014407407407407407,0.014591197636862894
omega,Orologeria,2100000.0,303587.0,4600000.0,422000.0,0.012962962962962963,0.00961511205616606,0.015436241610738255,0.01562962962962963,0.014126432853664779
Salvatore Ferragamo,Moda,2000000.0,479994.0,7500000.0,47000.0,0.012345679012345678,0.015202219121001137,0.025167785234899327,0.0017407407407407408,0.014080415725056293
Hyundai,Auto,0.0,360786.0,1500000.0,903000.0,0.0,0.011426700808321597,0.0050335570469798654,0.03344444444444444,0.013509083421024526
Gatorade,Bevande,6200000.0,313656.0,1300000.0,222000.0,0.03827160493827161,0.009934014259796441,0.00436241610738255,0.008222222222222223,0.013137935430874348
konami,Tecnologia,2600000.0,1406871.0,731000.0,201000.0,0.016049382716049384,0.044557976176748025,0.002453020134228188,0.0074444444444444445,0.01298546335003528
total,Carburanti,10000000.0,0.0,0.0,0.0,0.06172839506172839,0.0,0.0,0.0,0.012345679012345678
Singapore Airlines,Aviazione,4300000.0,747268.0,1700000.0,129000.0,0.02654320987654321,0.023667237253199577,0.005704697986577181,0.0047777777777777775,0.012288705191923927
Stella Artois,Birra,8100000.0,75504.0,267000.0,63200.0,0.05,0.002391338959470472,0.0008959731543624161,0.002340740740740741,0.01137451367016964
tag heuer,Orologeria,3500000.0,435061.0,3400000.0,72300.0,0.021604938271604937,0.013779115266028066,0.011409395973154362,0.0026777777777777776,0.011184476868162556
lottomatica,Scommesse,0.0,0.0,9421000.0,1000.0,0.0,0.0,0.03161409395973155,3.7037037037037037e-05,0.011076043997017152
Lipton,Bevande,7200000.0,57338.0,122000.0,1080.0,0.044444444444444446,0.0018159911164722126,0.00040939597315436244,4e-05,0.009316576146963748
michelin,Pneumatici,5800000.0,79978.0,405000.0,90100.0,0.03580246913580247,0.0025330380814331615,0.0013590604026845637,0.0033370370370370372,0.009017231791426177
guinness,Birra,6000000.0,68435.0,448000.0,64900.0,0.037037037037037035,0.0021674518130345645,0.0015033557046979867,0.002403703703703704,0.008979810787117999
Acqua Panna,Bevande,45788.0,0.0,36400.0,799000.0,0.000282641975308642,0.0,0.0001221476510067114,0.029592592592592594,0.008977057850691856
Asics,Abbigliamento Sportivo,4800000.0,133440.0,1400000.0,47400.0,0.02962962962962963,0.004226269744010116,0.004697986577181208,0.0017555555555555556,0.008730828356207533
Logitech,Tecnologia,3500000.0,335527.0,839000.0,152000.0,0.021604938271604937,0.010626705698429873,0.002815436241610738,0.005629629629629629,0.008589285082538116
Champion,Abbigliamento Sportivo,1800000.0,46480.0,4500000.0,4860.0,0.011111111111111112,0.0014720999527996867,0.015100671140939598,0.00018,0.007782272114471035
Powerade,Bevande,4700000.0,111341.0,183000.0,101000.0,0.029012345679012345,0.0035263571610299038,0.0006140939597315436,0.0037407407407407407,0.007668577818085218
canon,Tecnologia,4400000.0,42225.0,129000.0,154000.0,0.027160493827160494,0.001337336930012194,0.00043288590604026846,0.005703703703703704,0.007495320483159134
Legea,Abbigliamento Sportivo,35200.0,1309000.0,24000.0,95000.0,0.00021728395061728395,0.0414582366225213,8.053691275167786e-05,0.0035185185185185185,0.007345935758520294
fedex,Logistica,3100000.0,321302.0,365000.0,127000.0,0.019135802469135803,0.010176175968899418,0.0012248322147651006,0.004703703703703704,0.00719338927544097
Salomon,Abbigliamento Sportivo,1500000.0,76090.0,1400000.0,293000.0,0.009259259259259259,0.0024098985673091256,0.004697986577181208,0.010851851851851852,0.007113187494517199
u-power,Abbigliamento Sportivo,31300.0,1359000.0,39600.0,2710.0,0.00019320987654320988,0.043041820909095835,0.00013288590604026846,0.00010037037037037038,0.006571536289898222
Columbia,Abbigliamento Sportivo,2600000.0,122912.0,690000.0,156000.0,0.016049382716049384,0.0038928302366289824,0.002315436241610738,0.0057777777777777775,0.006337537096601315
3m,Altro,4600000.0,0.0,0.0,37700.0,0.028395061728395062,0.0,0.0,0.0013962962962962963,0.006097901234567902
lidl,E-Commerceretail,2600000.0,30115.0,1100000.0,130000.0,0.016049382716049384,0.0009537928158038418,0.003691275167785235,0.004814814814814815,0.006089336218749729
Forst,Birra,92521.0,0.0,0.0,531000.0,0.0005711172839506173,0.0,0.0,0.019666666666666666,0.006014223456790123
tim,Compagnie Telefoniche ,2300000.0,402475.0,159000.0,93200.0,0.014197530864197531,0.012747061714781712,0.0005335570469798658,0.0034518518518518518,0.0059738659520552715
crypto.com,Criptovalute,694058.0,506351.0,1200000.0,105000.0,0.0042843086419753085,0.016036989741826036,0.004026845637583893,0.0038888888888888888,0.005838472829489997
Yoga,Bevande,12207.0,0.0,7360.0,523000.0,7.535185185185185e-05,0.0,2.4697986577181208e-05,0.01937037037037037,0.005834825776783495
petronas,Carburanti,1100000.0,36995.0,261000.0,349000.0,0.006790123456790123,0.0011716940136364976,0.0008758389261744967,0.012925925925925926,0.005718100195342351
Allianz,Assicurazioni,3900000.0,53011.0,152000.0,29800.0,0.024074074074074074,0.0016789477323120524,0.0005100671140939598,0.0011037037037037037,0.00557629157570562
tissot,Orologeria,1600000.0,112116.0,2000000.0,61400.0,0.009876543209876543,0.003550902717471809,0.006711409395973154,0.002274074074074074,0.005539159560408906
hsbc,Banche,3000000.0,193849.0,76300.0,61300.0,0.018518518518518517,0.006139524607363737,0.00025604026845637586,0.0022703703703703705,0.005395357599879107
Caterpillar,Altro,2000000.0,150635.0,1000000.0,92600.0,0.012345679012345678,0.004770864380163099,0.003355704697986577,0.0034296296296296297,0.005388150992677791
Lavazza,Bevande,1000000.0,722000.0,157000.0,44000.0,0.006172839506172839,0.02286695709813627,0.0005268456375838927,0.0016296296296296295,0.005337896327998259
Vodafone,Compagnie Telefoniche ,3500000.0,43565.0,37600.0,62000.0,0.021604938271604937,0.0013797769888923915,0.0001261744966442953,0.0022962962962962963,0.005261004165369238
