brand,category,facebook,x,instagram,youtube,facebook_log,x_log,instagram_log,youtube_log,facebook_log_z,x_log_z,instagram_log_z,youtube_log_z,cluster,PC1,PC2,cluster_name
Subway,Alimentari,21000000.0,2034602.0,1400000.0,124000.0,16.860033043306743,14.525811271831998,14.151983508870947,11.728044909070785,0.7998225456123799,0.7670091976750659,0.4010707691191639,0.2808895561564228,0,1.1277629607926334,-0.3158642284855719,Brand ad alta presenza omnicanale
BMW,Auto,20000000.0,2669046.0,43400000.0,1920000.0,16.811242881518265,14.797232037823221,17.585970022112107,14.467836264837162,0.7878694961713212,0.8294645720287307,1.2529908675143622,1.0455886402840495,0,1.962246462237844,0.1877803297710562,Brand ad alta presenza omnicanale
Jeep,Auto,6300000.0,1101083.0,8400000.0,267000.0,15.656060350091908,13.911805707072485,15.943742382861155,12.495007682693725,0.5048625659740266,0.6257232232499231,0.8455790367970952,0.49495539343817846,0,1.2459234103422268,-0.06356166626505838,Brand ad alta presenza omnicanale
BYD,Auto,356612.0,87910.0,247000.0,28900.0,12.784406439158921,11.38408021805069,12.417147664184915,10.27163147557801,-0.19866084769699247,0.04408002766163389,-0.02931575622262879,-0.12560782779914026,1,-0.15097397843389074,-0.04044261733562943,Brand con presenza media e bilanciata
Audi,Auto,1300000.0,611009.0,5800000.0,335000.0,14.077875591662238,13.322868604631912,15.573368647930426,12.721888795877375,0.11822477357609587,0.49020563648989623,0.7536949168424795,0.5582798429778271,0,0.9657211348770623,0.18735361748004306,Brand ad alta presenza omnicanale
Mercedes,Auto,23000000.0,3919979.0,39300000.0,2070000.0,16.951004817371683,15.181597109712813,17.486735102284783,14.543059648333223,0.8221096230328904,0.9179090370852988,1.2283721853100047,1.0665841267992364,0,2.020368459296016,0.17610893815195638,Brand ad alta presenza omnicanale
VW,Auto,33000000.0,720127.0,11000000.0,332000.0,17.312018149733785,13.487184252969419,16.213405921671733,12.712893259942282,0.9105538923778752,0.5280155486814193,0.9124784808197431,0.5557691123426914,0,1.4630611525265904,-0.15156984213595787,Brand ad alta presenza omnicanale
Toyota,Auto,21000000.0,236357.0,10000000.0,74900.0,16.860033043306743,12.37310288375517,16.118095750958314,11.223922520551032,0.7998225456123799,0.2716594488796481,0.8888334694898643,0.1401847072350149,0,1.0732668943304997,-0.40649916393643737,Brand ad alta presenza omnicanale
honda,Auto,5600000.0,1160996.0,6100000.0,664000.0,15.53827733427679,13.964789676697363,15.623799493077952,13.406038934481533,0.47600703117464077,0.6379151189052906,0.7662060465148213,0.7492319690568027,0,1.3137321277829974,0.1811909570873781,Brand ad alta presenza omnicanale
Hyundai,Auto,0.0,360786.0,1500000.0,903000.0,0.0,12.796043035479343,14.220976332738882,13.713478939818222,-3.330698878321892,0.3689802467510355,0.41818684487295543,0.8350410909851389,3,-0.8644587282886921,1.8200822449672975,Brand con presenza social moderatamente inferiore alla media
Kia,Auto,0.0,250786.0,724000.0,272000.0,0.0,12.432359252266686,13.49254805258237,12.513561021741964,-3.330698878321892,0.2852946571685567,0.23747480954260572,0.5001337882629658,3,-1.1584347312415986,1.5803241126812595,Brand con presenza social moderatamente inferiore alla media
nissan,Auto,22000000.0,751165.0,7400000.0,266000.0,16.906553056777135,13.529381944936016,15.816990693309524,12.491255347155265,0.8112194338502382,0.537725463982151,0.8141338603474464,0.4939080846555004,0,1.3372947937385766,-0.15276757482337222,Brand ad alta presenza omnicanale
renault,Auto,18000000.0,131698.0,180000.0,87400.0,16.705882371415992,11.788274294688119,12.100717685412471,11.37826200322577,0.7620573377315222,0.13708725308793296,-0.10781724643278542,0.18326217034099293,1,0.47664518442581016,-0.14085828251516208,Brand con presenza media e bilanciata
BNL BNP Paribas,Banche,238145.0,1917.0,2674.0,10500.0,12.380639209951061,7.559038255443384,7.891704659330107,9.259225769705994,-0.29757934840466055,-0.836082648251087,-1.1520096966653182,-0.4081788762902974,3,-1.3708031346519403,0.16831570392112086,Brand con presenza social moderatamente inferiore alla media
Reale Mutua,Banche,64656.0,16361.0,34700.0,3830.0,11.076851653667346,9.702716852073644,10.454523783963511,8.25088114470065,-0.6169928643601773,-0.34281070290991605,-0.5162130467926118,-0.6896164425501249,3,-1.0751884486599916,-0.19332253798966476,Brand con presenza social moderatamente inferiore alla media
Unicredit,Banche,552374.0,39350.0,30800.0,19900.0,13.221982442433042,10.580276666483256,10.335302435967074,9.898525260706313,-0.09145957166860333,-0.1408794817429362,-0.5457900594350024,-0.22974494765471556,1,-0.5136002245977613,-0.033066238254962216,Brand con presenza media e bilanciata
Intesa San Paolo,Banche,518419.0,18281.0,76000.0,186000.0,13.158541003522917,9.813672248213765,11.23850177707664,12.133507329024972,-0.10700202178779329,-0.31727927101234904,-0.32171996813394693,0.3940575682149208,1,-0.20039225113864242,0.520932956316184,Brand con presenza media e bilanciata
Mediolanum,Banche,181410.0,9680.0,47800.0,39300.0,12.108520454295459,9.177920480720072,10.774801838762809,10.579005242826247,-0.3642454306835453,-0.46356916334912956,-0.4367569071408256,-0.03981719348500399,3,-0.6651450023794728,0.2949375825717602,Brand con presenza social moderatamente inferiore alla media
Banca popolare di Milano,Banche,11855.0,2109.0,5667.0,1350.0,9.380589347535867,7.6544432264701125,8.64259160081057,7.208600337960199,-1.0325583486087218,-0.8141294525959412,-0.9657260072556207,-0.9805258859428608,3,-1.8934272851348117,-0.09449529093345366,Brand con presenza social moderatamente inferiore alla media
bper banca,Banche,250481.0,4956.0,26400.0,9530.0,12.431142340637845,8.508555998020574,10.181157167204903,9.162304922937626,-0.28520664054924366,-0.6175935217779024,-0.5840311684273257,-0.43523030945897884,3,-0.9653689649679333,-0.016438116522281086,Brand con presenza social moderatamente inferiore alla media
hsbc,Banche,3000000.0,193849.0,76300.0,61300.0,14.914123179965662,12.174839943099075,11.242441323346558,11.023551435004947,0.32309617390659023,0.2260380826075655,-0.32074262630894,0.08425943202007453,1,0.14305737126469886,-0.04508068417902254,Brand con presenza media e bilanciata
Barclays,Banche,625108.0,298042.0,76200.0,30800.0,13.345681313512626,12.604993050379989,11.241129864948206,10.335302435967074,-0.061154717828856814,0.32501862024811684,-0.32106797929546366,-0.10783672088891183,1,-0.08841225261699856,-0.09239641995423666,Brand con presenza media e bilanciata
santander,Banche,7974.0,99229.0,29300.0,20500.0,8.984066927653044,11.505195666908287,10.285376924115587,9.928228944424575,-1.129701951245163,0.07194934219543048,-0.5581758235621904,-0.2214543967385791,3,-0.9271960406165936,0.31584004449317477,Brand con presenza social moderatamente inferiore alla media
credit suisse,Banche,160715.0,363877.0,20900.0,0.0,11.987394111175123,12.804573925603426,9.94755228369823,0.0,-0.39392004365590727,0.3709432503345079,-0.6419850056294313,-2.9925075883737486,4,-1.7442395456127817,-2.443537762698872,"Brand forti su Facebook, Instagram e X ma deboli su YouTube"
ubs,Banche,253638.0,503493.0,171000.0,39200.0,12.443667275210391,13.129327074485838,12.049424683420915,10.576457535657255,-0.28213817025310645,0.4456706921052613,-0.12054226417386796,-0.040528280237888625,1,-3.4912947362095564e-05,-0.01606231715953652,Brand con presenza media e bilanciata
crypto.com,Criptovalute,694058.0,506351.0,1200000.0,105000.0,13.450312250284643,13.134987358589699,13.997832948091215,11.561725152903833,-0.035521296777247545,0.4469731538434548,0.36282834725735114,0.2344682967617917,1,0.5087291225023863,0.04351551853069819,Brand con presenza media e bilanciata
binance,Criptovalute,2400000.0,15404953.0,4800000.0,1220000.0,14.690979711984754,16.550199703964953,15.38412668421143,14.014362236381235,0.2684284948612022,1.2328318362059012,0.7067468488374538,0.919020179694497,0,1.5561216059433525,0.273482206869433,Brand ad alta presenza omnicanale
socios.com,Criptovalute,272882.0,292516.0,340000.0,9820.0,12.516798410875543,12.586278063623286,12.73670383776449,9.192278229157774,-0.2642218517117574,0.32071220139455164,0.04996129562046488,-0.42686450460796943,1,-0.14283901272784122,-0.36121938224974137,Brand con presenza media e bilanciata
