brand,category,facebook,x,instagram,youtube
pirelli,Pneumatici,2200000.0,131829.0,431000.0,35000.0
Goodyear,Pneumatici,3200000.0,38858.0,274000.0,14600.0
Bridgestone,Pneumatici,496048.0,120154.0,139000.0,18000.0
michelin,Pneumatici,5800000.0,79978.0,405000.0,90100.0
hankook,Pneumatici,711658.0,,227000.0,233000.0
rolex,Orologeria,8100000.0,896443.0,17500000.0,2530000.0
richard mille,Orologeria,359591.0,80543.0,2700000.0,2270000.0
omega,Orologeria,2100000.0,303587.0,4600000.0,422000.0
tag heuer,Orologeria,3500000.0,435061.0,3400000.0,72300.0
hublot,Orologeria,5000000.0,651070.0,6000000.0,49300.0
tissot,Orologeria,1600000.0,112116.0,2000000.0,61400.0
tim,Compagnie Telefoniche ,2300000.0,402475.0,159000.0,93200.0
Vodafone,Compagnie Telefoniche ,3500000.0,43565.0,37600.0,62000.0
iliad,Compagnie Telefoniche ,344757.0,28818.0,138000.0,19200.0
wind 3,Compagnie Telefoniche ,2000000.0,13237.0,76400.0,61700.0
fastweb,Compagnie Telefoniche ,430166.0,27904.0,29400.0,24900.0
shell,Carburanti,9900000.0,557426.0,487000.0,1580000.0
agip,Carburanti,,,,
tamoil,Carburanti,,,,
esso,Carburanti,,,,
eni,Carburanti,321598.0,65400.0,59700.0,25400.0
repsol,Carburanti,226143.0,55460.0,120000.0,28700.0
total,Carburanti,10000000.0,,,
petronas,Carburanti,1100000.0,36995.0,261000.0,349000.0
aramco,Carburanti,14000000.0,1393910.0,758000.0,163000.0
Allianz,Assicurazioni,3900000.0,53011.0,152000.0,29800.0
generali,Assicurazioni,287247.0,11669.0,27000.0,35000.0
axa,Assicurazioni,3100000.0,82569.0,73600.0,11500.0
unipolsai,Assicurazioni,161224.0,27597.0,8271.0,14900.0
Decathlon,E-Commerceretail,1900000.0,166740.0,315000.0,52300.0
jd sports,E-Commerceretail,4000000.0,37450.0,2700000.0,632000.0
zalando,E-Commerceretail,8700000.0,25004.0,2800000.0,229000.0
amazon,E-Commerceretail,29000000.0,5920723.0,6100000.0,
Carrefour,E-Commerceretail,12000000.0,193752.0,71500.0,23300.0
esselunga,E-Commerceretail,871057.0,,280000.0,25000.0
coop,E-Commerceretail,381191.0,25776.0,95700.0,9120.0
lidl,E-Commerceretail,2600000.0,30115.0,1100000.0,130000.0
Visa,Altro,22000000.0,413252.0,233000.0,85600.0
Caterpillar,Altro,2000000.0,150635.0,1000000.0,92600.0
John deere,Altro,6000000.0,231505.0,1500000.0,389000.0
Bosch,Altro,1200000.0,241848.0,177000.0,34500.0
Siemens,Altro,1600000.0,210226.0,316000.0,26100.0
3m,Altro,4600000.0,,,37700.0
Alibaba,Altro,26000000.0,262636.0,13800000.0,
